Name,Sub,Score
"Metropolitan High School, The",Writing,386
Metropolitan Expeditionary Learning School,Writing,NA
Medgar Evers College Preparatory School,Writing,481
"Mathematics, Science Research and Technology Magne",Writing,388
"Math, Engineering, and Science Academy Charter Hig",Writing,NA
Maspeth High School,Writing,480
Martin Van Buren High School,Writing,391
Marta Valle High School,Writing,394
Marble Hill High School for International Studies,Writing,423
Manhattan Village Academy,Writing,510
Manhattan Theatre Lab High School,Writing,385
Manhattan International High School,Writing,382
Manhattan Early College School for Advertising,Writing,NA
Manhattan Center for Science and Mathematics,Writing,495
MANHATTAN BUSINESS ACADEMY,Writing,399
Manhattan Bridges High School,Writing,347
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Writing,321
Manhattan / Hunter Science High School,Writing,535
M.S. 223 The Laboratory School of Finance and Tech,Writing,NA
Lyons Community School,Writing,357
Lower Manhattan Arts Academy,Writing,415
Long Island City High School,Writing,412
Life Sciences Secondary School,Writing,425
Life Academy High School for Film and Music,Writing,378
Leon M. Goldstein High School for the Sciences,Writing,543
Legacy School for Integrated Studies,Writing,NA
Leadership Institute,Writing,NA
Leadership and Public Service High School,Writing,392
"Law, Government and Community Service High School",Writing,388
Landmark High School,Writing,386
Kurt Hahn Expeditionary Learning School,Writing,388
Knowledge and Power Preparatory Academy Internatio,Writing,404
KIPP STAR College Prep Charter School,Writing,411
KIPP Infinity Charter School,Writing,432
KIPP AMP Charter School,Writing,418
KIPP Academy Charter School,Writing,473
Kingsbridge International High School,Writing,310
Kingsborough Early College School,Writing,449
Kings Collegiate Charter School,Writing,NA
Khalil Gibran International Academy,Writing,NA
Juan Morel Campos Secondary School,Writing,353
Jonathan Levin High School for Media and Communica,Writing,330
John W. Lavelle Preparatory Charter School,Writing,NA
John Dewey High School,Writing,396
John Bowne High School,Writing,425
John Adams High School,Writing,395
Jane Addams High School for Academic Careers,Writing,354
James Madison High School,Writing,444
Jamaica Gateway to the Sciences,Writing,463
Jacqueline Kennedy Onassis High School,Writing,415
J.H.S. 157 Stephen A. Halsey,Writing,NA
It Takes a Village Academy,Writing,361
Inwood Early College for Health and Information Te,Writing,NA
International School for Liberal Arts,Writing,379
International Leadership Charter High School,Writing,435
International High School for Health Sciences,Writing,NA
International High School at Union Square,Writing,316
International High School at Prospect Heights,Writing,300
International High School at LaGuardia Community C,Writing,365
International High School at Lafayette,Writing,337
International Community High School,Writing,312
International Arts Business School,Writing,NA
